,otv,debris1,debris2,debris3,debris4,debris5,debris6,debris7,debris8,debris9,debris10
149,[-1.18491096 -0.52709273 -0.05164782],[-1.2201845   0.04942866  0.00140737],[-1.18491096 -0.52709273 -0.05164782],[-0.20184718  1.04030838  0.12613665],[-0.04089584 -1.17650756 -0.08451715],[ 0.79966494 -0.7367913  -0.0333743 ],[-0.29920927 -1.23934302 -0.07947983],[-1.17167866 -0.52977804 -0.02692815],[ 0.43440639 -1.1881361  -0.09135088],[-0.07609086  1.1366332   0.17770022],[-1.08395487 -0.39672398 -0.01166363]
150,[-1.18342403 -0.53038872 -0.05199611],[-1.22033036  0.04568662  0.00138628],[-1.18342403 -0.53038872 -0.05199611],[-0.20577916  1.03954274  0.12609564],[-0.0370886  -1.17663232 -0.08453684],[ 0.8023497  -0.73387257 -0.03324579],[-0.29564852 -1.24019131 -0.07957266],[-1.17016892 -0.53309534 -0.0271078 ],[ 0.43785675 -1.18687315 -0.0912955 ],[-0.07993491  1.13636023  0.1777584 ],[-1.08262447 -0.40033656 -0.01179049]
151,[-1.18192783 -0.53368055 -0.05234398],[-1.22046475  0.04194415  0.00136518],[-1.18192783 -0.53368055 -0.05234398],[-0.20970824  1.03876244  0.12605286],[-0.03328097 -1.17674482 -0.08455566],[ 0.80502379 -0.73094408 -0.03311684],[-0.29208534 -1.24102942 -0.07966484],[-1.16864976 -0.53640835 -0.02728723],[ 0.44130343 -1.18560025 -0.09123935],[-0.08377806  1.13607457  0.17781459],[-1.08128201 -0.40394469 -0.01191721]
152,[-1.18042238 -0.5369682  -0.05269145],[-1.22058766  0.03820128  0.00134406],[-1.18042238 -0.5369682  -0.05269145],[-0.21363436  1.0379675   0.12600831],[-0.02947299 -1.17684507 -0.08457359],[ 0.80768717 -0.72800587 -0.03298744],[-0.28851976 -1.24185732 -0.07975636],[-1.1671212  -0.53971704 -0.02746644],[ 0.4447464  -1.18431739 -0.09118244],[-0.08762027  1.13577621  0.1778688 ],[-1.07992751 -0.40754832 -0.01204381]
153,[-1.17890767 -0.54025165 -0.05303851],[-1.2206991   0.03445806  0.00132293],[-1.17890767 -0.54025165 -0.05303851],[-0.21755747  1.03715794  0.12596198],[-0.02566471 -1.17693305 -0.08459064],[ 0.8103398  -0.72505797 -0.03285761],[-0.28495181 -1.24267503 -0.07984723],[-1.16558324 -0.54302138 -0.02764542],[ 0.44818565 -1.18302459 -0.09112477],[-0.09146151  1.13546516  0.17792102],[-1.07856099 -0.41114741 -0.01217027]
154,[-1.17738373 -0.54353086 -0.05338515],[-1.22079905  0.03071451  0.00130179],[-1.17738373 -0.54353086 -0.05338515],[-0.22147752  1.03633377  0.12591387],[-0.02185616 -1.17700878 -0.08460681],[ 0.81298165 -0.72210043 -0.03272734],[-0.28138152 -1.24348252 -0.07993744],[-1.1640359  -0.54632135 -0.02782419],[ 0.45162113 -1.18172186 -0.09106633],[-0.09530172  1.13514142  0.17797125],[-1.07718246 -0.41474192 -0.01229659]
155,[-1.17585057 -0.54680582 -0.05373137],[-1.22088752  0.02697067  0.00128064],[-1.17585057 -0.54680582 -0.05373137],[-0.22539444  1.03549499  0.12586399],[-0.01804738 -1.17707224 -0.0846221 ],[ 0.81561269 -0.71913328 -0.03259663],[-0.27780892 -1.2442798  -0.08002699],[-1.16247919 -0.54961693 -0.02800273],[ 0.45505282 -1.18040922 -0.09100712],[-0.09914087  1.13480499  0.1780195 ],[-1.07579193 -0.41833181 -0.01242278]
156,[-1.1743082  -0.55007649 -0.05407717],[-1.22096451  0.02322658  0.00125948],[-1.1743082  -0.55007649 -0.05407717],[-0.22930819  1.03464162  0.12581233],[-0.01423842 -1.17712344 -0.08463651],[ 0.81823288 -0.71615656 -0.03246549],[-0.27423403 -1.24506686 -0.08011589],[-1.16091312 -0.55290808 -0.02818105],[ 0.45848069 -1.17908666 -0.09094715],[-0.10297891  1.13445588  0.17806575],[-1.07438943 -0.42191705 -0.01254883]
157,[-1.17275662 -0.55334286 -0.05442255],[-1.22103001  0.01948227  0.0012383 ],[-1.17275662 -0.55334286 -0.05442255],[-0.23321871  1.03377367  0.12575891],[-0.01042931 -1.17716238 -0.08465003],[ 0.82084218 -0.71317032 -0.03233392],[-0.27065689 -1.24584368 -0.08020413],[-1.1593377  -0.55619478 -0.02835914],[ 0.46190471 -1.17775421 -0.09088642],[-0.1068158   1.1340941   0.17811002],[-1.07297496 -0.42549759 -0.01267474]
158,[-1.17119586 -0.55660488 -0.0547675 ],[-1.22108404e+00  1.57377762e-02  1.21711308e-03],[-1.17119586 -0.55660488 -0.0547675 ],[-0.23712594  1.03289116  0.12570371],[-0.00662008 -1.17718905 -0.08466267],[ 0.82344056 -0.71017459 -0.03220192],[-0.26707753 -1.24661027 -0.08029171],[-1.15775295 -0.559477   -0.028537  ],[ 0.46532486 -1.17641187 -0.09082492],[-0.1106515   1.13371964  0.17815229],[-1.07154855 -0.42907339 -0.01280051]
159,[-1.16962593 -0.55986255 -0.05511203],[-1.22112658e+00  1.19931355e-02  1.19591397e-03],[-1.16962593 -0.55986255 -0.05511203],[-0.24102984  1.03199408  0.12564673],[-0.00281079 -1.17720347 -0.08467444],[ 0.82602799 -0.70716941 -0.03206949],[-0.26349598 -1.24736662 -0.08037863],[-1.15615889 -0.56275472 -0.02871463],[ 0.4687411  -1.17505966 -0.09076267],[-0.11448596  1.13333252  0.17819257],[-1.0701102  -0.43264441 -0.01292613]
160,[-1.16804683 -0.56311584 -0.05545612],[-1.22115764e+00  8.24838200e-03  1.17470361e-03],[-1.16804683 -0.56311584 -0.05545612],[-0.24493033  1.03108247  0.12558799],[ 9.98529097e-04 -1.17720562e+00 -8.46853154e-02],[ 0.82860443 -0.70415483 -0.03193663],[-0.25991226 -1.24811272 -0.08046489],[-1.15455551 -0.56602791 -0.02889203],[ 0.4721534  -1.17369759 -0.09069965],[-0.11831914  1.13293273  0.17823086],[-1.06865994 -0.43621062 -0.01305161]
161,[-1.16645858 -0.56636471 -0.05579977],[-1.22117721e+00  4.50355093e-03  1.15348220e-03],[-1.16645858 -0.56636471 -0.05579977],[-0.24882737  1.03015633  0.12552748],[ 0.00480784 -1.1771955  -0.08469531],[ 0.83116985 -0.70113088 -0.03180335],[-0.2563264  -1.24884856 -0.08055049],[-1.15294284 -0.56929655 -0.0290692 ],[ 0.47556174 -1.17232566 -0.09063587],[-0.122151    1.13252027  0.17826716],[-1.06719778 -0.43977197 -0.01317695]
162,[-1.1648612  -0.56960914 -0.05614299],[-1.22118530e+00  7.58677502e-04  1.13224994e-03],[-1.1648612  -0.56960914 -0.05614299],[-0.25272091  1.02921567  0.1254652 ],[ 0.0086171  -1.17717313 -0.08470443],[ 0.83372421 -0.6980976  -0.03166964],[-0.25273844 -1.24957415 -0.08063542],[-1.1513209  -0.5725606  -0.02924614],[ 0.47896609 -1.17094389 -0.09057132],[-0.12598149  1.13209517  0.17830147],[-1.06572374 -0.44332842 -0.01330214]
163,[-1.16325469 -0.57284912 -0.05648577],[-1.22118190e+00 -2.98620306e-03  1.11100704e-03],[-1.16325469 -0.57284912 -0.05648577],[-0.25661088  1.02826051  0.12540115],[ 0.01242627 -1.17713849 -0.08471266],[ 0.83626748 -0.69505503 -0.03153552],[-0.2491484  -1.25028947 -0.0807197 ],[-1.14968968 -0.57582004 -0.02942283],[ 0.48236642 -1.1695523  -0.09050602],[-0.12981058  1.13165741  0.17833379],[-1.06423783 -0.44687993 -0.01342718]
164,[-1.16163907 -0.5760846  -0.05682811],[-1.22116702e+00 -6.73105554e-03  1.08975368e-03],[-1.16163907 -0.5760846  -0.05682811],[-0.26049724  1.02729086  0.12533534],[ 0.01623531 -1.17709158 -0.08472001],[ 0.83879962 -0.69200322 -0.03140097],[-0.24555631 -1.25099451 -0.08080331],[-1.14804921 -0.57907485 -0.0295993 ],[ 0.4857627  -1.16815089 -0.09043996],[-0.13363821  1.13120701  0.17836411],[-1.06274007 -0.45042647 -0.01355207]
165,[-1.16001435 -0.57931557 -0.05717   ],[-1.22114066e+00 -1.04758447e-02  1.06849008e-03],[-1.16001435 -0.57931557 -0.05717   ],[-0.26437993  1.02630673  0.12526776],[ 0.02004418 -1.17703242 -0.08472648],[ 0.8413206  -0.6889422  -0.03126601],[-0.24196221 -1.25168928 -0.08088626],[-1.14639949 -0.58232499 -0.02977552],[ 0.48915491 -1.16673967 -0.09037314],[-0.13746435  1.13074396  0.17839244],[-1.06123047 -0.453968   -0.01367681]
166,[-1.15838054 -0.58254201 -0.05751145],[-1.22110281e+00 -1.42205354e-02  1.04721643e-03],[-1.15838054 -0.58254201 -0.05751145],[-0.2682589   1.02530815  0.12519841],[ 0.02385285 -1.17696099 -0.08473206],[ 0.8438304  -0.68587201 -0.03113063],[-0.23836612 -1.25237376 -0.08096854],[-1.14474055 -0.58557045 -0.0299515 ],[ 0.49254301 -1.16531866 -0.09030556],[-0.14128896  1.13026828  0.17841877],[-1.05970906 -0.45750447 -0.0138014 ]
167,[-1.15673765 -0.58576388 -0.05785244],[-1.22105348e+00 -1.79650923e-02  1.02593294e-03],[-1.15673765 -0.58576388 -0.05785244],[-0.27213408  1.02429511  0.1251273 ],[ 0.02766126 -1.17687731 -0.08473677],[ 0.84632896 -0.68279271 -0.03099483],[-0.23476807 -1.25304795 -0.08105016],[-1.1430724  -0.58881119 -0.03012725],[ 0.49592697 -1.16388787 -0.09023722],[-0.14511199  1.12977997  0.17844312],[-1.05817585 -0.46103584 -0.01392584]
168,[-1.15508571 -0.58898116 -0.05819298],[-1.22099266e+00 -2.17094803e-02  1.00463979e-03],[-1.15508571 -0.58898116 -0.05819298],[-0.27600543  1.02326764  0.12505443],[ 0.03146939 -1.17678136 -0.08474059],[ 0.84881627 -0.67970431 -0.03085863],[-0.23116809 -1.25371185 -0.08113111],[-1.14139504 -0.5920472  -0.03030275],[ 0.49930677 -1.16244731 -0.09016813],[-0.14893339  1.12927904  0.17846547],[-1.05663086 -0.46456209 -0.01405012]
169,[-1.15342471 -0.59219383 -0.05853306],[-1.22092036e+00 -2.54536641e-02  9.83337197e-04],[-1.15342471 -0.59219383 -0.05853306],[-0.27987289  1.02222575  0.12497979],[ 0.03527719 -1.17667316 -0.08474352],[ 0.85129229 -0.67660688 -0.03072201],[-0.22756621 -1.25436545 -0.08121139],[-1.1397085  -0.59527844 -0.030478  ],[ 0.50268238 -1.16099699 -0.09009828],[-0.15275313  1.12876548  0.17848582],[-1.05507411 -0.46808315 -0.01417424]
170,[-1.15175469 -0.59540186 -0.05887269],[-1.22083658e+00 -2.91976085e-02  9.62025355e-04],[-1.15175469 -0.59540186 -0.05887269],[-0.2837364   1.02116946  0.12490339],[ 0.03908462 -1.17655269 -0.08474558],[ 0.85375698 -0.67350045 -0.03058499],[-0.22396246 -1.25500874 -0.08129101],[-1.13801278 -0.59850488 -0.03065301],[ 0.50605377 -1.15953693 -0.09002767],[-0.15657117  1.12823931  0.17850418],[-1.0535056  -0.47159901 -0.01429821]
171,[-1.15007563 -0.59860523 -0.05921185],[-1.22074132e+00 -3.29412784e-02  9.40704467e-04],[-1.15007563 -0.59860523 -0.05921185],[-0.28759592  1.02009878  0.12482524],[ 0.04289164 -1.17641997 -0.08474675],[ 0.85621031 -0.67038505 -0.03044755],[-0.22035687 -1.25564172 -0.08136996],[-1.1363079  -0.60172651 -0.03082778],[ 0.50942092 -1.15806713 -0.08995631],[-0.16038745  1.12770054  0.17852054],[-1.05192537 -0.47510962 -0.01442202]
172,[-1.14838757 -0.6018039  -0.05955056],[-1.22063458e+00 -3.66846385e-02  9.19374732e-04],[-1.14838757 -0.6018039  -0.05955056],[-0.29145139  1.01901372  0.12474532],[ 0.04669822 -1.176275   -0.08474704],[ 0.85865226 -0.66726074 -0.03030972],[-0.21674948 -1.25626438 -0.08144824],[-1.13459387 -0.6049433  -0.03100229],[ 0.51278378 -1.15658761 -0.08988419],[-0.16420194  1.12714916  0.17853491],[-1.05033342 -0.47861493 -0.01454566]
173,[-1.14669052 -0.60499786 -0.05988879],[-1.22051636e+00 -4.04276535e-02  8.98036350e-04],[-1.14669052 -0.60499786 -0.05988879],[-0.29530275  1.01791431  0.12466365],[ 0.05050431 -1.17611777 -0.08474644],[ 0.86108278 -0.66412755 -0.03017148],[-0.2131403  -1.25687672 -0.08152585],[-1.13287071 -0.60815521 -0.03117656],[ 0.51614235 -1.15509839 -0.08981132],[-0.1680146   1.12658519  0.17854729],[-1.04872977 -0.48211492 -0.01466915]
174,[-1.14498448 -0.60818709 -0.06022655],[-1.22038666e+00 -4.41702884e-02  8.76689524e-04],[-1.14498448 -0.60818709 -0.06022655],[-0.29914994  1.01680055  0.12458022],[ 0.05430987 -1.17594829 -0.08474497],[ 0.86350184 -0.66098553 -0.03003283],[-0.20952937 -1.25747873 -0.08160279],[-1.13113843 -0.61136223 -0.03135058],[ 0.51949658 -1.15359947 -0.08973769],[-0.17182538  1.12600862  0.17855767],[-1.04711445 -0.48560954 -0.01479247]
175,[-1.14326947 -0.61137155 -0.06056385],[-1.22024549e+00 -4.79125079e-02  8.55334452e-04],[-1.14326947 -0.61137155 -0.06056385],[-0.30299292  1.01567246  0.12449503],[ 0.05811487 -1.17576656 -0.08474261],[ 0.86590942 -0.65783471 -0.02989379],[-0.20591672 -1.25807042 -0.08167907],[-1.12939704 -0.61456433 -0.03152434],[ 0.52284645 -1.15209087 -0.08966331],[-0.17563424  1.12541948  0.17856605],[-1.04548747 -0.48909875 -0.01491562]
176,[-1.1415455  -0.61455121 -0.06090067],[-1.22009284e+00 -5.16542768e-02  8.33971337e-04],[-1.1415455  -0.61455121 -0.06090067],[-0.30683164  1.01453006  0.12440809],[ 0.06191927 -1.17557259 -0.08473936],[ 0.86830548 -0.65467514 -0.02975435],[-0.20230237 -1.25865176 -0.08175467],[-1.12764657 -0.61776148 -0.03169785],[ 0.52619193 -1.15057259 -0.08958818],[-0.17944114  1.12481776  0.17857244],[-1.04384885 -0.49258251 -0.01503861]
177,[-1.1398126  -0.61772607 -0.06123701],[-1.21992871e+00 -5.53955599e-02  8.12600379e-04],[-1.1398126  -0.61772607 -0.06123701],[-0.31066602  1.01337337  0.1243194 ],[ 0.06572301 -1.17536636 -0.08473524],[ 0.87068999 -0.65150686 -0.02961452],[-0.19868637 -1.25922277 -0.0818296 ],[-1.12588701 -0.62095366 -0.0318711 ],[ 0.52953299 -1.14904466 -0.08951229],[-0.18324603  1.12420346  0.17857683],[-1.04219861 -0.4960608  -0.01516144]
178,[-1.13807076 -0.62089609 -0.06157287],[-1.21975311e+00 -5.91363221e-02  7.91221779e-04],[-1.13807076 -0.62089609 -0.06157287],[-0.31449604  1.01220239  0.12422895],[ 0.06952608 -1.17514789 -0.08473023],[ 0.87306292 -0.64832992 -0.02947429],[-0.19506873 -1.25978343 -0.08190385],[-1.1241184  -0.62414084 -0.0320441 ],[ 0.53286962 -1.14750709 -0.08943566],[-0.18704887  1.12357661  0.17857923],[-1.04053676 -0.49953355 -0.01528409]
179,[-1.13632001 -0.62406124 -0.06190825],[-1.21956604e+00 -6.28765281e-02  7.69835738e-04],[-1.13632001 -0.62406124 -0.06190825],[-0.31832161  1.01101716  0.12413676],[ 0.07332842 -1.17491718 -0.08472434],[ 0.87542423 -0.64514435 -0.02933367],[-0.19144949 -1.26033374 -0.08197744],[-1.12234073 -0.62732299 -0.03221684],[ 0.53620176 -1.14595988 -0.08935827],[-0.19084962  1.1229372   0.17857963],[-1.03886332 -0.50300075 -0.01540657]
180,[-1.13456036 -0.6272215  -0.06224315],[-1.21936751e+00 -6.66161429e-02  7.48442457e-04],[-1.13456036 -0.6272215  -0.06224315],[-0.32214271  1.00981767  0.12404281],[ 0.07712999 -1.17467424 -0.08471756],[ 0.87777389 -0.6419502  -0.02919266],[-0.18782867 -1.26087369 -0.08205035],[-1.12055403 -0.6305001  -0.03238932],[ 0.53952941 -1.14440306 -0.08928013],[-0.19464825  1.12228524  0.17857804],[-1.03717832 -0.50646234 -0.01552888]
181,[-1.13279182 -0.63037685 -0.06257755],[-1.21915750e+00 -7.03551311e-02  7.27042138e-04],[-1.13279182 -0.63037685 -0.06257755],[-0.32595926  1.00860396  0.12394712],[ 0.08093076 -1.17441905 -0.08470991],[ 0.88011188 -0.63874751 -0.02905126],[-0.18420632 -1.26140329 -0.08212258],[-1.11875831 -0.63367213 -0.03256154],[ 0.54285253 -1.14283663 -0.08920125],[-0.19844469  1.12162074  0.17857445],[-1.03548177 -0.5099183  -0.01565102]
182,[-1.1310144  -0.63352726 -0.06291147],[-1.21893603e+00 -7.40934577e-02  7.05634981e-04],[-1.1310144  -0.63352726 -0.06291147],[-0.32977122  1.00737603  0.12384968],[ 0.08473069 -1.17415163 -0.08470137],[ 0.88243816 -0.63553632 -0.02890947],[-0.18058245 -1.26192252 -0.08219414],[-1.11695358 -0.63683906 -0.0327335 ],[ 0.54617109 -1.1412606  -0.08912161],[-0.20223892  1.12094371  0.17856886],[-1.03377369 -0.51336857 -0.01577299]
183,[-1.12922813 -0.63667271 -0.06324489],[-1.21870310e+00 -7.78310875e-02  6.84221189e-04],[-1.12922813 -0.63667271 -0.06324489],[-0.33357854  1.00613391  0.1237505 ],[ 0.08852974 -1.17387198 -0.08469195],[ 0.8847527  -0.63231667 -0.0287673 ],[-0.17695709 -1.26243138 -0.08226503],[-1.11513987 -0.64000086 -0.03290519],[ 0.54948507 -1.139675   -0.08904123],[-0.20603089  1.12025415  0.17856128],[-1.0320541  -0.51681313 -0.01589478]
184,[-1.12743301 -0.63981317 -0.06357782],[-1.21845870e+00 -8.15679854e-02  6.62800961e-04],[-1.12743301 -0.63981317 -0.06357782],[-0.33738115  1.00487761  0.12364957],[ 0.09232786 -1.1735801  -0.08468165],[ 0.88705547 -0.62908862 -0.02862475],[-0.17333028 -1.26292987 -0.08233524],[-1.11331717 -0.64315752 -0.03307662],[ 0.55279443 -1.13807983 -0.0889601 ],[-0.20982055  1.11955207  0.17855171],[-1.03032301 -0.52025194 -0.01601639]
185,[-1.12562906 -0.64294862 -0.06391025],[-1.21820285e+00 -8.53041162e-02  6.41374501e-04],[-1.12562906 -0.64294862 -0.06391025],[-0.34117901  1.00360715  0.1235469 ],[ 0.09612503 -1.17327599 -0.08467046],[ 0.88934644 -0.62585219 -0.02848182],[-0.16970205 -1.26341799 -0.08240477],[-1.11148552 -0.64630899 -0.03324778],[ 0.55609916 -1.13647511 -0.08887822],[-0.21360788  1.11883748  0.17854014],[-1.02858046 -0.52368495 -0.01613782]
186,[-1.12381629 -0.64607904 -0.06424218],[-1.21793554e+00 -8.90394447e-02  6.19942009e-04],[-1.12381629 -0.64607904 -0.06424218],[-0.34497206  1.00232255  0.12344249],[ 0.09992119 -1.17295966 -0.08465839],[ 0.89162558 -0.62260744 -0.0283385 ],[-0.16607242 -1.26389572 -0.08247363],[-1.10964491 -0.64945526 -0.03341868],[ 0.55939922 -1.13486085 -0.0887956 ],[-0.21739281  1.11811039  0.17852657],[-1.02682645 -0.52711214 -0.01625908]
187,[-1.12199471 -0.64920439 -0.06457361],[-1.21765678e+00 -9.27739359e-02  5.98503687e-04],[-1.12199471 -0.64920439 -0.06457361],[-0.34876025  1.00102383  0.12333634],[ 0.10371631 -1.17263112 -0.08464545],[ 0.89389286 -0.61935441 -0.02819481],[-0.16244143 -1.26436307 -0.08254181],[-1.10779538 -0.65259631 -0.03358931],[ 0.56269458 -1.13323706 -0.08871223],[-0.22117531  1.11737081  0.17851101],[-1.02506101 -0.53053345 -0.01638015]
188,[-1.12016435 -0.65232465 -0.06490453],[-1.21736656e+00 -9.65075547e-02  5.77059736e-04],[-1.12016435 -0.65232465 -0.06490453],[-0.35254353  0.999711    0.12322845],[ 0.10751035 -1.17229035 -0.08463161],[ 0.89614824 -0.61609314 -0.02805075],[-0.15880911 -1.26482003 -0.08260931],[-1.10593693 -0.6557321  -0.03375966],[ 0.56598522 -1.13160376 -0.08862812],[-0.22495535  1.11661873  0.17849345],[-1.02328415 -0.53394885 -0.01650104]
189,[-1.11832521 -0.65543981 -0.06523495],[-1.21706490e+00 -1.00240266e-01  5.55610358e-04],[-1.11832521 -0.65543981 -0.06523495],[-0.35632184  0.99838408  0.12311882],[ 0.11130327 -1.17193738 -0.0846169 ],[ 0.89839171 -0.61282367 -0.02790631],[-0.15517548 -1.2652666  -0.08267613],[-1.10406957 -0.65886261 -0.03392975],[ 0.56927111 -1.12996096 -0.08854326],[-0.22873287  1.11585418  0.1784739 ],[-1.0214959  -0.53735831 -0.01662175]
190,[-1.11647732 -0.65854983 -0.06556485],[-1.21675179e+00 -1.03972034e-01  5.34155756e-04],[-1.11647732 -0.65854983 -0.06556485],[-0.36009513  0.9970431   0.12300746],[ 0.11509503 -1.1715722  -0.08460131],[ 0.90062322 -0.60954605 -0.0277615 ],[-0.15154057 -1.26570277 -0.08274227],[-1.10219333 -0.66198782 -0.03409956],[ 0.57255222 -1.12830868 -0.08845766],[-0.23250783  1.11507716  0.17845236],[-1.01969628 -0.54076179 -0.01674227]
191,[-1.11462067 -0.66165469 -0.06589424],[-1.21642724e+00 -1.07702825e-01  5.12696130e-04],[-1.11462067 -0.66165469 -0.06589424],[-0.36386334  0.99568806  0.12289437],[ 0.11888559 -1.17119481 -0.08458483],[ 0.90284275 -0.60626032 -0.02761632],[-0.14790442 -1.26612855 -0.08280774],[-1.10030821 -0.6651077  -0.03426909],[ 0.57582852 -1.12664693 -0.08837132],[-0.2362802   1.11428768  0.17842882],[-1.0178853  -0.54415925 -0.01686261]
192,[-1.1127553  -0.66475437 -0.06622311],[-1.21609125e+00 -1.11432603e-01  4.91231682e-04],[-1.1127553  -0.66475437 -0.06622311],[-0.36762643  0.994319    0.12277954],[ 0.12267491 -1.17080522 -0.08456748],[ 0.90505027 -0.60296653 -0.02747078],[-0.14426706 -1.26654392 -0.08287252],[-1.09841424 -0.66822222 -0.03443835],[ 0.57909999 -1.12497572 -0.08828424],[-0.24004992  1.11348575  0.17840329],[-1.01606299 -0.54755064 -0.01698275]
193,[-1.1108812  -0.66784884 -0.06655146],[-1.21574382e+00 -1.15161333e-01  4.69762615e-04],[-1.1108812  -0.66784884 -0.06655146],[-0.37138433  0.99293592  0.12266299],[ 0.12646296 -1.17040344 -0.08454924],[ 0.90724576 -0.59966471 -0.02732487],[-0.1406285  -1.26694889 -0.08293662],[-1.09651143 -0.67133137 -0.03460734],[ 0.5823666  -1.12329507 -0.08819641],[-0.24381696  1.11267138  0.17837576],[-1.01422936 -0.55093594 -0.01710271]
194,[-1.10899841 -0.67093809 -0.06687929],[-1.21538496e+00 -1.18888979e-01  4.48289130e-04],[-1.10899841 -0.67093809 -0.06687929],[-0.37513701  0.99153885  0.1225447 ],[ 0.13024968 -1.16998946 -0.08453012],[ 0.90942917 -0.59635492 -0.02717859],[-0.1369888  -1.26734344 -0.08300004],[-1.09459978 -0.67443511 -0.03477604],[ 0.58562833 -1.12160499 -0.08810784],[-0.24758128  1.11184457  0.17834624],[-1.01238444 -0.55431511 -0.01722248]
195,[-1.10710693 -0.67402207 -0.0672066 ],[-1.21501467e+00 -1.22615508e-01  4.26811429e-04],[-1.10710693 -0.67402207 -0.0672066 ],[-0.37888439  0.99012781  0.12242469],[ 0.13403505 -1.1695633  -0.08451012],[ 0.91160048 -0.59303719 -0.02703195],[-0.13334797 -1.26772759 -0.08306278],[-1.09267933 -0.67753342 -0.03494447],[ 0.58888513 -1.1199055  -0.08801854],[-0.25134283  1.11100534  0.17831473],[-1.01052825 -0.5576881  -0.01734206]
196,[-1.10520677 -0.67710077 -0.06753338],[-1.21463295e+00 -1.26340884e-01  4.05329714e-04],[-1.10520677 -0.67710077 -0.06753338],[-0.38262644  0.98870282  0.12230296],[ 0.13781903 -1.16912495 -0.08448924],[ 0.91375967 -0.58971157 -0.02688496],[-0.12970604 -1.26810132 -0.08312483],[-1.09075008 -0.68062628 -0.03511261],[ 0.592137  -1.1181966 -0.0879285],[-0.25510158  1.11015369  0.17828122],[-1.00866081 -0.56105489 -0.01746144]
197,[-1.10329796 -0.68017417 -0.06785963],[-1.21423981e+00 -1.30065071e-01  3.83844187e-04],[-1.10329796 -0.68017417 -0.06785963],[-0.3863631  0.9872639  0.1221795],[ 0.14160157 -1.16867442 -0.08446748],[ 0.9159067  -0.58637811 -0.0267376 ],[-0.12606305 -1.26846462 -0.08318621],[-1.08881206 -0.68371366 -0.03528047],[ 0.59538389 -1.11647832 -0.08783771],[-0.25885747  1.10928963  0.17824573],[-1.00678214 -0.56441542 -0.01758063]
198,[-1.1013805  -0.68324225 -0.06818535],[-1.21383525e+00 -1.33788036e-01  3.62355051e-04],[-1.1013805  -0.68324225 -0.06818535],[-0.39009431  0.98581106  0.12205432],[ 0.14538263 -1.16821172 -0.08444484],[ 0.91804155 -0.58303685 -0.0265899 ],[-0.12241902 -1.26881751 -0.0832469 ],[-1.08686526 -0.68679554 -0.03544805],[ 0.59862579 -1.11475067 -0.0877462 ],[-0.26261047  1.10841318  0.17820824],[-1.00489225 -0.56776967 -0.01769962]
199,[-1.09945442 -0.68630497 -0.06851054],[-1.21341928e+00 -1.37509742e-01  3.40862507e-04],[-1.09945442 -0.68630497 -0.06851054],[-0.39382003  0.98434433  0.12192742],[ 0.14916218 -1.16773685 -0.08442133],[ 0.92016418 -0.57968783 -0.02644183],[-0.11877398 -1.26915997 -0.0833069 ],[-1.08490972 -0.68987189 -0.03561534],[ 0.60186266 -1.11301366 -0.08765394],[-0.26636053  1.10752435  0.17816876],[-1.00299118 -0.5711176  -0.01781842]
200,[-1.09751972 -0.68936231 -0.06883519],[-1.21299189e+00 -1.41230155e-01  3.19366757e-04],[-1.09751972 -0.68936231 -0.06883519],[-0.39754019  0.98286374  0.1217988 ],[ 0.15294017 -1.16724981 -0.08439693],[ 0.92227457 -0.57633111 -0.02629342],[-0.11512797 -1.26949201 -0.08336622],[-1.08294545 -0.69294269 -0.03578235],[ 0.60509448 -1.11126731 -0.08756095],[-0.27010762  1.10662314  0.17812728],[-1.00107894 -0.57445917 -0.01793702]
201,[-1.09557643 -0.69241425 -0.0691593 ],[-1.21255310e+00 -1.44949240e-01  2.97868004e-04],[-1.09557643 -0.69241425 -0.0691593 ],[-0.40125475  0.98136929  0.12166846],[ 0.15671658 -1.16675062 -0.08437165],[ 0.9243727  -0.57296671 -0.02614465],[-0.11148101 -1.26981361 -0.08342486],[-1.08097245 -0.6960079  -0.03594906],[ 0.60832122 -1.10951163 -0.08746722],[-0.27385169  1.10570956  0.17808382],[-0.99915555 -0.57779435 -0.01805541]
202,[-1.09362456 -0.69546077 -0.06948287],[-1.21210290e+00 -1.48666961e-01  2.76366449e-04],[-1.09362456 -0.69546077 -0.06948287],[-0.40496366  0.97986101  0.12153641],[ 0.16049135 -1.16623927 -0.08434549],[ 0.92645852 -0.56959469 -0.02599554],[-0.10783314 -1.27012479 -0.08348281],[-1.07899076 -0.69906752 -0.03611549],[ 0.61154285 -1.10774664 -0.08737276],[-0.2775927   1.10478362  0.17803837],[-0.99722104 -0.58112309 -0.01817361]
203,[-1.09166411 -0.69850184 -0.06980589],[-1.21164131e+00 -1.52383285e-01  2.54862296e-04],[-1.09166411 -0.69850184 -0.06980589],[-0.40866687  0.97833893  0.12140265],[ 0.16426444 -1.16571577 -0.08431846],[ 0.92853203 -0.56621509 -0.02584608],[-0.10418438 -1.27042552 -0.08354007],[-1.07700038 -0.7021215  -0.03628163],[ 0.61475935 -1.10597235 -0.08727757],[-0.28133061  1.10384534  0.17799093],[-0.99527542 -0.58444536 -0.01829161]
